REDE;CLIENTE;LATITUDE;LONGITUDE;BAIRRO;CLASSE SOCIAL;CIDADE;TIPO COMERCIAL;Pontos de Interesse
CENTERBOX;CENTERBOX - ATACAREJO;-3.7807157;-38.62234820;GRANJA LISBOA;C;FORTALEZA;PEQUENOS REGIONAIS;Escolas
CENTERBOX;CENTERBOX - BARRA;-3.7100856;-38.58970580;BARRA DO CEARA;B;FORTALEZA;PEQUENOS REGIONAIS;Predios comercias
CENTERBOX;CENTERBOX - CAUCAIA;-3.7347353;-38.65958390;CENTRO;C;CAUCAIA;PEQUENOS REGIONAIS;Hospitais
CENTERBOX;CENTERBOX - CEL CARVALHO;-3.7135362;-38.58857030;BARRA DO CEARA;B;FORTALEZA;PEQUENOS REGIONAIS;Igrejas
CENTERBOX;CENTERBOX - CONCEITO;-3.7424091;-38.48675810;COCO;A;FORTALEZA;PEQUENOS REGIONAIS;Academias
CENTERBOX;CENTERBOX - CURIO;-3.8268863;-38.46624181;LAGOA REDONDA;B;FORTALEZA;PEQUENOS REGIONAIS;Shoppings
CENTERBOX;CENTERBOX - EXPEDICIONARIO;-3.8071766;-38.55509600;DENDE;C;FORTALEZA;PEQUENOS REGIONAIS;Equipamentos de Lazer
CENTERBOX;CENTERBOX - GRANJA PORTUGAL;-3.77778933;-38.59964399;GRANJA PORTUGAL;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - JD IRACEMA;-3.71767679;-38.57899347;FLORESTA;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - JOAO XXIII;-3.77289;-38.58824220;JOAO XXIII;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - JOSE BASTOS;-3.7548351;-38.55616230;BELA VISTA;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - LAGOA REDONDA;-3.82635425;-38.47426069;LAGOA REDONDA;B;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - MESSEJANA - LJ 01;-3.8185168;-38.49718780;MESSEJANA;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - MESSEJANA - LJ 02;-3.830081;-38.50975900;BARROSO;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PARQUE SANTA MARIA;-3.8573702;-38.50257130;PARQUE SANTA MARIA;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PARQUELANDIA;-3.7429477;-38.55991570;PARQUELANDIA;B;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PEDRAS;-3.89368547;-38.51477265;PEDRAS;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PRQ DEL SOL;-3.80290818;-38.49478307;PARQUE IRACEMA;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PRQ GENIBAU;-3.7566112;-38.60241850;PARQUE GENIBAU;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PRQ SAO JOSE;-3.8003218;-38.58807650;PARQUE SAO JOSE;C;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - SANTOS DUMONT;-3.7440842;-38.47493430;COCO;A;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - VALPARAISO;-3.8489518;-38.51200331;JANGURUSSU;C;FORTALEZA;PEQUENOS REGIONAIS;
COMETA;COMETA (ANTONIO SALES);-3.7440036;-38.50806730;DIONISIO TORRES;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (BARAO DO RIO BRANCO);-3.73996838;-38.53237147;JOSE BONIFACIO;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (BENI CARVALHO);-3.745611;-38.49574700;ALDEOTA;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (CASTELO BRANCO);-3.7049139;-38.57800820;BARRA DO CEARA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (CENTRO);-3.7216531;-38.54022900;CENTRO;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (ED BR SOARES);-3.7888981;-38.47597770;SAPIRANGA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (ENGENHEIRO SANTANA JR);-3.7354447;-38.48161580;PAPICU;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (EUSEBIO);-3.8795207;-38.46137950;COITE;B;EUSEBIO;SUPER REGIONAIS;
COMETA;COMETA (EXPRESS 01);-3.76752651;-38.55298701;MONTESE;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (EXPRESS 02);-3.76328481;-38.54773512;MONTESE;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (FATIMA);-3.7532492;-38.52769620;FATIMA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (FREI CIRILO);-3.8194034;-38.49637390;MESSEJANA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (HENRIQUE JORGE);-3.7598094;-38.58619460;HENRIQUE JORGE;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (ILDEFONSO ALBANO);-3.7407932;-38.51611300;JOAQUIM TAVORA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (J DA PENHA);-3.7374817;-38.52047550;CENTRO;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JACARECANGA);-3.72013;-38.54911000;JACARECANGA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOAO CARLOS);-3.782635;-38.55384010;SERRINHA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOAO PESSOA);-3.7570117;-38.55306510;DAMAS;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOAO XXIII);-3.77305558;-38.57358276;JOQUEI CLUBE;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOAQUIM FELICIO);-3.8301305;-38.48753830;MESSEJANA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOSE LEON);-3.7882169;-38.50204381;CIDADE DOS FUNCIONARIOS;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOSE WALTER 01);-3.83055313;-38.56049735;PREFEITO JOSE WALTER;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOSE WALTER 02);-3.8298586;-38.55165528;PREJEITO JOSE WALTER;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JOVITA FEITOSA);-3.7403104;-38.56030540;PARQUELANDIA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (JULIO LIMA);-3.7960364;-38.49905620;CIDADE DOS FUNCIONARIOS;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (MARACANAU);-3.8819005;-38.62523000;BOA VISTA;C;MARACANAU;SUPER REGIONAIS;
COMETA;COMETA (MARAPONGA);-3.79182527;-38.56714010;MARAPONGA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (MATOS DOURADO);-3.7498338;-38.58468850;DOM LUSTOSA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (MESSEJANA);-3.8194224;-38.48178160;MESSEJANA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (MONDUBIM);-3.81050075;-38.57394099;MONDUBIM;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (OLIVEIRA PAIVA);-3.7955137;-38.49016640;PARQUE MANIBURA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (OSORIO DE PAIVA);-3.8109052;-38.60922290;SIQUEIRA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (PASSARE);-3.79093331;-38.53740405;SERRINHA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (PATIO OLIVEIRA PAIVA);-3.79612714;-38.49383649;CIDADE DOS FUNCIONARIOS;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (PE ANTONIO TOMAS);-3.7411919;-38.49585330;ALDEOTA;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (PINTO MADEIRA);-3.7338116;-38.51365010;ALDEOTA;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (PRESIDENTE KENNEDY);-3.7302312;-38.56837300;PRESIDENTE KENNEDY;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (SERRINHA);-3.787502;-38.54711400;SERRINHA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (SIQUEIRA);-3.789045;-38.58644550;VILA PERI;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (TIBURCIO CAVALCANTE);-3.7411822;-38.50415250;ALDEOTA;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (TREZE DE MAIO);-3.7495749;-38.52854890;FATIMA;B;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (VILA VELHA);-3.7233183;-38.59635130;VILA VELHA;C;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (VIRGILIO TAVORA);-3.7344387;-38.49226030;MEIRELES;A;FORTALEZA;SUPER REGIONAIS;
COMETA;COMETA (WALDIR DIOGO);-3.8009513;-38.58665600;NOVO MONDUBIM;C;FORTALEZA;SUPER REGIONAIS;
GPA;EXTRA - OLIVEIRA PAIVA;-3.7964091;-38.49369770;CIDADE DOS FUNCIONARIOS;B;FORTALEZA;SUPER NACIONAL;
GPA;EXTRA - RODOVIARIA (1404);-3.7555418;-38.53039560;FATIMA;B;FORTALEZA;SUPER NACIONAL;
GPA;EXTRA - WASHINGTON SOARES;-3.7929007;-38.47969330;SEIS BOCAS;C;FORTALEZA;SUPER NACIONAL;
FRANGOLANDIA;FRANGOLANDIA - CD;-3.8546626;-38.60215410;DISTRITO INDUSTRIAL I;C;MARACANAU;SUPER REGIONAIS;
SUPER LAGOA;LAG - BARRA DO CEARA;-3.70214343;-38.58428755;BARRA DO CEARA;B;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;LAG - MESSEJANA;-3.832713;-38.49164460;MESSEJANA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;LAG - MONDUBIM;-3.8165367;-38.55713700;MONDUBIM;B;FORTALEZA;PEQUENOS REGIONAIS;
MIX MATEUS;MATEUS - CAUCAIA;-3.76132708;-38.61643438;PARQUE GUADALAJARA (JUREMA);C;CAUCAIA;ATACAREJO NACIONAL;
