REDE,CLIENTE,LATITUDE,LONGITUDE,BAIRRO,CLASSE SOCIAL,CIDADE,TIPO COMERCIAL,Pontos de Interesse,num_pois,cluster
CENTERBOX,CENTERBOX - ATACAREJO,-3.7807157,-38.6223482,GRANJA LISBOA,C,FORTALEZA,PEQUENOS REGIONAIS,Escolas,20,1
CENTERBOX,CENTERBOX - BARRA,-3.7100856,-38.5897058,BARRA DO CEARA,B,FORTALEZA,PEQUENOS REGIONAIS,Predios comercias,20,2
CENTERBOX,CENTERBOX - CAUCAIA,-3.7347353,-38.6595839,CENTRO,C,CAUCAIA,PEQUENOS REGIONAIS,Hospitais,20,1
CENTERBOX,CENTERBOX - CEL CARVALHO,-3.7135362,-38.5885703,BARRA DO CEARA,B,FORTALEZA,PEQUENOS REGIONAIS,Igrejas,20,2
CENTERBOX,CENTERBOX - CONCEITO,-3.7424091,-38.4867581,COCO,A,FORTALEZA,PEQUENOS REGIONAIS,Academias,20,4
CENTERBOX,CENTERBOX - CURIO,-3.8268863,-38.46624181,LAGOA REDONDA,B,FORTALEZA,PEQUENOS REGIONAIS,Shoppings,20,0
CENTERBOX,CENTERBOX - EXPEDICIONARIO,-3.8071766,-38.555096,DENDE,C,FORTALEZA,PEQUENOS REGIONAIS,Equipamentos de Lazer,20,1
CENTERBOX,CENTERBOX - GRANJA PORTUGAL,-3.77778933,-38.59964399,GRANJA PORTUGAL,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
CENTERBOX,CENTERBOX - JD IRACEMA,-3.71767679,-38.57899347,FLORESTA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,2
CENTERBOX,CENTERBOX - JOAO XXIII,-3.77289,-38.5882422,JOAO XXIII,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
CENTERBOX,CENTERBOX - JOSE BASTOS,-3.7548351,-38.5561623,BELA VISTA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
CENTERBOX,CENTERBOX - LAGOA REDONDA,-3.82635425,-38.47426069,LAGOA REDONDA,B,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - MESSEJANA - LJ 01,-3.8185168,-38.4971878,MESSEJANA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - MESSEJANA - LJ 02,-3.830081,-38.509759,BARROSO,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - PARQUE SANTA MARIA,-3.8573702,-38.5025713,PARQUE SANTA MARIA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - PARQUELANDIA,-3.7429477,-38.5599157,PARQUELANDIA,B,FORTALEZA,PEQUENOS REGIONAIS,,20,2
CENTERBOX,CENTERBOX - PEDRAS,-3.89368547,-38.51477265,PEDRAS,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - PRQ DEL SOL,-3.80290818,-38.49478307,PARQUE IRACEMA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
CENTERBOX,CENTERBOX - PRQ GENIBAU,-3.7566112,-38.6024185,PARQUE GENIBAU,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
CENTERBOX,CENTERBOX - PRQ SAO JOSE,-3.8003218,-38.5880765,PARQUE SAO JOSE,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
CENTERBOX,CENTERBOX - SANTOS DUMONT,-3.7440842,-38.4749343,COCO,A,FORTALEZA,PEQUENOS REGIONAIS,,20,4
CENTERBOX,CENTERBOX - VALPARAISO,-3.8489518,-38.51200331,JANGURUSSU,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
COMETA,COMETA (ANTONIO SALES),-3.7440036,-38.5080673,DIONISIO TORRES,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (BARAO DO RIO BRANCO),-3.73996838,-38.53237147,JOSE BONIFACIO,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (BENI CARVALHO),-3.745611,-38.495747,ALDEOTA,A,FORTALEZA,SUPER REGIONAIS,,20,4
COMETA,COMETA (CASTELO BRANCO),-3.7049139,-38.5780082,BARRA DO CEARA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (CENTRO),-3.7216531,-38.540229,CENTRO,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (ED BR SOARES),-3.7888981,-38.4759777,SAPIRANGA,C,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (ENGENHEIRO SANTANA JR),-3.7354447,-38.4816158,PAPICU,A,FORTALEZA,SUPER REGIONAIS,,20,4
